id,idiom,meaning,source_sentence,literal_meaning,expected_translation_note,condition,system,translated_text,back_translation,meaning_preserved,literal_translation,confidence,failure_type,judge_explanation
1,spill the beans,reveal a secret,"After weeks of hiding the surprise, Maya finally spilled the beans.",physically spilling beans,"Should preserve the sense of revealing a secret, not literal beans.",context,google-translate,"Después de semanas de ocultar la sorpresa, Maya finalmente contó la verdad.",,True,False,0.9,none,The translation conveys the intended meaning of revealing a secret by using a different expression.
2,spill the beans,reveal a secret,spill the beans,physically spilling beans,"Should preserve the sense of revealing a secret, not literal beans.",isolated,google-translate,descubrir el pastel,,True,False,0.9,none,"The translation 'descubrir el pastel' conveys the intended meaning of revealing a secret, thus preserving the meaning."
3,kick the bucket,die,Everyone was shocked when the old landlord finally kicked the bucket.,strike a bucket with one's foot,"Should convey death, not kicking an object.",context,google-translate,Todos se sorprendieron cuando el antiguo propietario finalmente murió.,,True,False,1.0,none,The translation conveys the intended meaning of death clearly.
4,kick the bucket,die,kick the bucket,strike a bucket with one's foot,"Should convey death, not kicking an object.",isolated,google-translate,estirar la pata,,True,False,0.9,none,"The Spanish idiom 'estirar la pata' conveys the intended meaning of dying, similar to 'kick the bucket'."
5,hit the sack,go to sleep,"I have an early meeting tomorrow, so I'm going to hit the sack.",strike a bag or sack,Should convey going to bed or sleeping.,context,google-translate,"Tengo una reunión temprano mañana, así que me voy a ir a la cama.",,True,False,0.9,none,The translation conveys the intended meaning of going to sleep.
6,hit the sack,go to sleep,hit the sack,strike a bag or sack,Should convey going to bed or sleeping.,isolated,google-translate,golpear el saco,,False,True,0.9,literalized_idiom,The translation 'golpear el saco' is a literal rendering and does not convey the intended meaning of going to sleep.
7,break the ice,ease tension and start conversation,The host told a joke to break the ice at the networking event.,physically crack frozen water,"Should preserve social meaning, not literal ice.",context,google-translate,La conductora contó un chiste para romper el hielo en el evento de networking.,,True,False,0.9,none,The translation conveys the intended meaning of easing tension and starting conversation.
8,break the ice,ease tension and start conversation,break the ice,physically crack frozen water,"Should preserve social meaning, not literal ice.",isolated,google-translate,romper el hielo,,True,False,0.9,none,"The translation 'romper el hielo' conveys the intended meaning of easing tension and starting conversation, preserving the social context."
9,piece of cake,very easy,The calculus quiz was a piece of cake for her.,a slice of dessert,"Should convey ease, not dessert.",context,google-translate,El examen de cálculo fue pan comido para ella.,,True,False,0.9,none,"The translation 'pan comido' conveys the intended meaning of something being very easy, similar to 'piece of cake'."
10,piece of cake,very easy,piece of cake,a slice of dessert,"Should convey ease, not dessert.",isolated,google-translate,pedazo de pastel,,False,True,0.2,literalized_idiom,The translation 'pedazo de pastel' is a literal rendering that does not convey the intended meaning of 'very easy'.
11,under the weather,feeling sick,"I'm feeling a bit under the weather today, so I'll stay home.",located beneath weather conditions,Should convey illness.,context,google-translate,"Me siento un poco mal hoy, así que me quedaré en casa.",,True,False,0.9,none,The translation conveys the intended meaning of feeling sick.
12,under the weather,feeling sick,under the weather,located beneath weather conditions,Should convey illness.,isolated,google-translate,indispuesto,,True,False,0.9,none,The translation 'indispuesto' effectively conveys the intended meaning of feeling sick.
13,cost an arm and a leg,be very expensive,That downtown apartment costs an arm and a leg.,requires body parts as payment,Should convey high cost.,context,google-translate,Ese apartamento en el centro cuesta un ojo de la cara.,,True,False,0.9,none,"The Spanish translation 'un ojo de la cara' conveys the same meaning of being very expensive, similar to the English idiom."
14,cost an arm and a leg,be very expensive,cost an arm and a leg,requires body parts as payment,Should convey high cost.,isolated,google-translate,cuesta un brazo y una pierna,,False,True,0.7,literalized_idiom,The translation is a literal rendering of the idiom and does not convey the intended meaning of being very expensive.
15,once in a blue moon,very rarely,He only visits his hometown once in a blue moon.,during a blue-colored moon,Should convey rarity.,context,google-translate,Sólo visita su ciudad natal una vez cada luna azul.,,False,True,0.2,literalized_idiom,The translation is a literal rendering of the idiom and does not convey the intended meaning of rarity.
16,once in a blue moon,very rarely,once in a blue moon,during a blue-colored moon,Should convey rarity.,isolated,google-translate,una vez en una luna azul,,False,True,0.2,literalized_idiom,The translation is a literal rendering and does not convey the intended meaning of rarity.
17,let the cat out of the bag,reveal a secret accidentally,Tom let the cat out of the bag about the engagement.,release a cat from a bag,Should preserve accidental disclosure.,context,google-translate,Tom dejó salir el gato de la bolsa sobre el compromiso.,,False,True,0.2,literalized_idiom,The translation is a literal rendering of the idiom and does not convey the intended meaning of revealing a secret.
18,let the cat out of the bag,reveal a secret accidentally,let the cat out of the bag,release a cat from a bag,Should preserve accidental disclosure.,isolated,google-translate,deja que el gato salga de la bolsa,,False,True,0.2,literalized_idiom,The translation is a literal rendering and does not convey the intended meaning of revealing a secret.
19,burn the midnight oil,work late into the night,She burned the midnight oil studying for finals.,light oil late at night,Should convey staying up late working.,context,google-translate,Se quemó hasta medianoche estudiando para los exámenes finales.,,False,True,0.3,literalized_idiom,The translation is a literal rendering that does not convey the intended meaning of working late.
20,burn the midnight oil,work late into the night,burn the midnight oil,light oil late at night,Should convey staying up late working.,isolated,google-translate,quemar el aceite de medianoche,,False,True,0.2,literalized_idiom,The translation is a literal rendering of the idiom and does not convey the intended meaning of working late.
21,bite the bullet,endure something difficult,I decided to bite the bullet and pay for the repair.,bite a metal bullet,Should convey facing hardship.,context,google-translate,Decidí hacer el esfuerzo y pagar la reparación.,,True,False,0.9,none,The translation conveys the intended meaning of enduring something difficult through the phrase 'hacer el esfuerzo'.
22,bite the bullet,endure something difficult,bite the bullet,bite a metal bullet,Should convey facing hardship.,isolated,google-translate,muerde la bala,,False,True,0.2,literalized_idiom,The translation 'muerde la bala' is a literal translation that does not convey the intended meaning of enduring something difficult.
23,call it a day,stop working for now,"We've made enough progress, so let's call it a day.",name the day something,Should convey ending work.,context,google-translate,"Hemos progresado bastante, así que dejémoslo por hoy.",,True,False,0.9,none,The translation conveys the intended meaning of stopping work for the day.
24,call it a day,stop working for now,call it a day,name the day something,Should convey ending work.,isolated,google-translate,terminar,,False,True,0.2,meaning_shift,The translation 'terminar' does not convey the idiomatic meaning of stopping work for the day.
25,cut corners,do something cheaply or carelessly,The contractor cut corners to save money.,trim physical corners,Should preserve reduced quality meaning.,context,google-translate,El contratista tomó atajos para ahorrar dinero.,,True,False,0.9,none,"The translation conveys the intended meaning of doing something carelessly or cheaply by using the phrase 'tomó atajos', which is an appropriate equivalent in Spanish."
26,cut corners,do something cheaply or carelessly,cut corners,trim physical corners,Should preserve reduced quality meaning.,isolated,google-translate,cortar esquinas,,False,True,0.2,literalized_idiom,The translation 'cortar esquinas' is a literal rendering and does not convey the intended meaning of doing something cheaply or carelessly.
27,on the ball,alert and competent,Our new assistant is really on the ball.,standing on a ball,Should convey competence.,context,google-translate,Nuestro nuevo asistente está realmente al tanto.,,True,False,0.9,none,The translation conveys the intended meaning of being alert and competent.
28,on the ball,alert and competent,on the ball,standing on a ball,Should convey competence.,isolated,google-translate,en la pelota,,False,True,0.2,literalized_idiom,The translation 'en la pelota' is a literal rendering and does not convey the intended meaning of being alert and competent.
29,back to square one,start over,"When the server crashed, we were back to square one.",return to a physical square,Should convey restarting.,context,google-translate,"Cuando el servidor falló, volvimos al punto de partida.",,True,False,0.9,none,"The translation conveys the intended meaning of starting over by using 'punto de partida', which is a common expression in Spanish."
30,back to square one,start over,back to square one,return to a physical square,Should convey restarting.,isolated,google-translate,volver al punto de partida,,True,False,0.9,none,The translation 'volver al punto de partida' effectively conveys the intended meaning of starting over.
31,pull someone's leg,joke or tease,"Relax, I'm just pulling your leg.",tug on a person's leg,Should convey joking.,context,google-translate,"Relájate, sólo te estoy tomando el pelo.",,True,False,0.9,none,The Spanish translation conveys the intended meaning of joking or teasing.
32,pull someone's leg,joke or tease,pull someone's leg,tug on a person's leg,Should convey joking.,isolated,google-translate,tirarle la pierna a alguien,,False,True,0.2,literalized_idiom,The translation is a literal rendering and does not convey the intended meaning of joking or teasing.
33,the ball is in your court,it is your turn to act,"I've sent the proposal, so the ball is in your court now.",a ball located on a sports court,Should convey responsibility now belongs to listener.,context,google-translate,"Envié la propuesta, así que ahora la pelota está en tu tejado.",,False,True,0.4,meaning_shift,"The translation uses a literal rendering that shifts the meaning, as 'en tu tejado' does not convey the intended responsibility."
34,the ball is in your court,it is your turn to act,the ball is in your court,a ball located on a sports court,Should convey responsibility now belongs to listener.,isolated,google-translate,la pelota está en tu tejado,,False,True,0.3,meaning_shift,"The translation shifts the meaning to imply the listener's responsibility is on their roof, which does not convey the intended meaning of taking action."
35,beat around the bush,avoid the main topic,Stop beating around the bush and answer the question.,hit plants around a bush,Should convey avoidance.,context,google-translate,Deja de andarte por las ramas y responde la pregunta.,,True,False,0.9,none,The Spanish translation conveys the intended meaning of avoiding the main topic.
36,beat around the bush,avoid the main topic,beat around the bush,hit plants around a bush,Should convey avoidance.,isolated,google-translate,andar por las ramas,,True,False,0.9,none,The Spanish translation 'andar por las ramas' conveys the same idea of avoiding the main topic.
37,a blessing in disguise,something bad that leads to good,Losing that job was a blessing in disguise.,a blessing wearing a disguise,Should preserve unexpected positive outcome.,context,google-translate,Perder ese trabajo fue una bendición disfrazada.,,True,True,0.8,none,The translation conveys the intended meaning of an unexpected positive outcome despite being a literal translation.
38,a blessing in disguise,something bad that leads to good,a blessing in disguise,a blessing wearing a disguise,Should preserve unexpected positive outcome.,isolated,google-translate,una bendición disfrazada,,False,True,0.4,meaning_shift,The translation is a literal rendering and does not convey the intended meaning of an unexpected positive outcome.
39,add fuel to the fire,make a bad situation worse,His rude comment added fuel to the fire.,put fuel onto flames,Should convey escalation.,context,google-translate,Su grosero comentario añadió más leña al fuego.,,True,False,0.9,none,The Spanish translation conveys the intended meaning of escalating a bad situation.
40,add fuel to the fire,make a bad situation worse,add fuel to the fire,put fuel onto flames,Should convey escalation.,isolated,google-translate,echar leña al fuego,,True,False,0.9,none,The Spanish idiom 'echar leña al fuego' conveys the same idea of making a bad situation worse.
41,barking up the wrong tree,pursuing the wrong idea,"If you think I leaked it, you're barking up the wrong tree.",a dog barking at an incorrect tree,Should convey mistaken suspicion.,context,google-translate,"Si crees que lo filtré, estás ladrando al árbol equivocado.",,False,True,0.2,literalized_idiom,The translation is a literal rendering of the idiom and does not convey the intended meaning of pursuing the wrong idea.
42,barking up the wrong tree,pursuing the wrong idea,barking up the wrong tree,a dog barking at an incorrect tree,Should convey mistaken suspicion.,isolated,google-translate,ladrando al árbol equivocado,,False,True,0.2,literalized_idiom,The translation is a literal rendering and does not convey the intended meaning of pursuing the wrong idea.
43,cry over spilled milk,be upset about something irreversible,There's no use crying over spilled milk now.,weep because milk spilled,Should preserve futility.,context,google-translate,Ya no sirve de nada llorar por la leche derramada.,,True,False,0.9,none,The translation conveys the intended meaning of futility regarding being upset over something irreversible.
44,cry over spilled milk,be upset about something irreversible,cry over spilled milk,weep because milk spilled,Should preserve futility.,isolated,google-translate,llorar por la leche derramada,,False,True,0.4,meaning_shift,The translation is a literal rendering and does not convey the futility of being upset over something irreversible.
45,fish out of water,someone uncomfortable in surroundings,I felt like a fish out of water at the fashion gala.,a fish outside water,Should convey discomfort.,context,google-translate,Me sentí como pez fuera del agua en la gala de moda.,,True,True,0.9,none,"The translation conveys the intended meaning of discomfort in surroundings, even though it is a literal translation."
46,fish out of water,someone uncomfortable in surroundings,fish out of water,a fish outside water,Should convey discomfort.,isolated,google-translate,pez fuera del agua,,False,True,0.9,literalized_idiom,The translation is a literal rendering and does not convey the intended meaning of discomfort.
47,go the extra mile,make additional effort,She always goes the extra mile for clients.,walk one more mile,Should preserve added effort.,context,google-translate,Ella siempre hace un esfuerzo adicional por los clientes.,,True,False,0.9,none,The translation conveys the intended meaning of making additional effort.
48,go the extra mile,make additional effort,go the extra mile,walk one more mile,Should preserve added effort.,isolated,google-translate,hacer un esfuerzo adicional,,True,False,0.95,none,The translation 'hacer un esfuerzo adicional' conveys the intended meaning of making additional effort.
49,in hot water,in trouble,He's in hot water after missing the deadline.,inside heated water,Should convey trouble.,context,google-translate,Está en problemas después de no cumplir con la fecha límite.,,True,False,0.95,none,The translation conveys the intended meaning of being in trouble.
50,in hot water,in trouble,in hot water,inside heated water,Should convey trouble.,isolated,google-translate,en agua caliente,,False,True,0.2,literalized_idiom,The translation 'en agua caliente' is a literal translation and does not convey the intended meaning of being in trouble.
